# The following header line defines the name of the columns by reference to the parameters.
Name,P9,P10,P22,P1,P2,P23,P24
DP 0,0.015,0.015,0.000588399,0.0032886534728013262,0.0032892890125901858,0.14751848553499,-1.39320276285473
DP 1,0.03,0.03,0.000588399,0.0029156480652031609,0.00291669004270174,0.19447824191391178,-1.20602462223272
DP 2,0.0375,0.0375,0.000588399,0.0027410247330696561,0.00274232204761349,0.21670792319557891,-1.1168444450392112
DP 3,0.045,0.045,0.000588399,0.0025736741920205589,0.0025752642478462065,0.2381507451311824,-1.030480897882909
DP 33,0.06,0.06,0.000588399,0.0022590106494159378,0.0022613105554295417,0.2788126817302839,-0.86581770170248262
DP 4,0.075,0.075,0.000588399,0.0019683605116601727,0.0019715657580417494,0.3167293694886294,-0.71125444584486008
DP 5,0.09,0.09,0.000588399,0.0016988361984583392,0.0017031963925292623,0.35214961944014245,-0.56601893459780972
DP 6,0.105,0.105,0.000588399,0.0014479285477124726,0.001453780121413315,0.38530267283106517,-0.42937017086019946
DP 7,0.1125,0.1125,0.000588399,0.0013287660005004719,0.0013355310556886675,0.40109510955057637,-0.36404614628216886
DP 8,0.12,0.12,0.000588399,0.0012134686649129566,0.001221291799112226,0.41639752892786253,-0.30061138396342985
DP 9,0.135,0.135,0.000588399,0.00099358739408033259,0.0010041128023946604,0.44562310180025227,-0.17909661060172402
DP 10,0.15,0.15,0.000588399,0.00078667630938458061,0.00080110664741567814,0.47314927837495052,-0.064232786637775485
DP 11,0.015,0.015,0.0008825985,0.0032877862233645352,0.0032884762733696726,0.11593299607050594,-1.4212683142657485
DP 12,0.03,0.03,0.0008825985,0.002911806640305944,0.002912937068315173,0.16311541256722092,-1.2330359112132678
DP 13,0.0375,0.0375,0.0008825985,0.0027358514382336348,0.0027372555627138153,0.18545455485582341,-1.1433531679034805
DP 14,0.045,0.045,0.0008825985,0.0025672641070073163,0.0025689805635111681,0.20700530878949974,-1.0565035579877604
DP 34,0.06,0.06,0.0008825985,0.0022503873561996687,0.0022528577388998931,0.24787793861051508,-0.89091693128695393
DP 15,0.075,0.075,0.0008825985,0.0019578326104902929,0.001961261625130095,0.28599792013042846,-0.73549272711767522
DP 16,0.09,0.09,0.0008825985,0.001686669211136108,0.001691320375074684,0.3216138319535688,-0.58945462221734291
DP 17,0.105,0.105,0.0008825985,0.0014343502322276061,0.0014405815615671108,0.35495494655444892,-0.45205723440818224
DP 18,0.1125,0.1125,0.0008825985,0.0013145567527219626,0.0013217578386738682,0.37083861445696142,-0.38637766940742013
DP 19,0.12,0.12,0.0008825985,0.00119867301291832,0.0012069995506281651,0.38623048914106267,-0.32259906807014277
DP 20,0.135,0.135,0.0008825985,0.00097773927476168,0.00098895186390851424,0.41562967708236259,-0.20042971532310605
DP 21,0.15,0.15,0.0008825985,0.00076991547651003849,0.00078533016775859889,0.44332273168997316,-0.084952043838137287
DP 22,0.015,0.015,0.001176798,0.0032876760690268166,0.003288424037524018,0.085199884716639238,-1.4486681411140843
DP 23,0.03,0.03,0.001176798,0.0029087866535039224,0.0029100067150848556,0.13258178254063632,-1.2594495184683909
DP 24,0.0375,0.0375,0.001176798,0.0027315250649167706,0.002733036065518093,0.155019249464051,-1.1692962917414582
DP 25,0.045,0.045,0.001176798,0.0025617226151633241,0.0025635644212660519,0.17666724580897092,-1.081991396452251
DP 35,0.06,0.06,0.001176798,0.0022426657664774393,0.0022453033458562283,0.21773041385497771,-0.91553892958107164
DP 26,0.075,0.075,0.001176798,0.0019482277841438287,0.0019518750557745339,0.25603507993894314,-0.75930619068693361
DP 27,0.09,0.09,0.001176798,0.0016754376688649854,0.0016803721271242734,0.29182947102631085,-0.61251321420715177
DP 28,0.105,0.105,0.001176798,0.0014217119673924678,0.0014283133639993865,0.32534285652580447,-0.4744101902514557
DP 29,0.1125,0.1125,0.001176798,0.0013012875557118617,0.0013089141712896702,0.341310363066824,-0.40839497324382296
DP 30,0.12,0.12,0.001176798,0.0011848164926943647,0.001193635329676484,0.35678454057166425,-0.34429154726877148
DP 31,0.135,0.135,0.001176798,0.00096282511352048625,0.00097471387946029115,0.38634399649058804,-0.22150274123729152
DP 32,0.15,0.15,0.001176798,0.00075408024757945516,0.00077047292263330148,0.41419161549595551,-0.10544293770220124
