# The following header line defines the name of the columns by reference to the parameters.
Name,P9,P10,P14,P1,P2,P3,P4,P18,P19,P20,P21,P22,P23
DP 0,0.0375,0.0375,0.000588399,0.0010365615072387394,0.0010577973433435126,0.001123356855245547,0.00034545545987590926,1.0293622016906738,1.0293622016906738,0.38129615783691406,0.82157111167907715,0.90423528429423738,0.10899100451101887
DP 2,0.075,0.075,0.000588399,0.0011247905657978084,0.0011436203402662322,0.0011295158582289777,0.00034153462679470679,1.0143239498138428,1.0143239498138428,0.33158460259437561,0.76926141977310181,0.8936584523420017,0.062937485229872317
DP 5,0.1125,0.1125,0.000588399,0.001203399428828997,0.0012204492024103883,0.0011349510257438627,0.00033844489715872435,1.0008852481842041,1.0008852481842041,0.28729438781738281,0.72255575656890869,0.88421539399042048,0.021876532125730135
DP 6,0.15,0.15,0.000588399,0.0012738120840171834,0.0012895038934507021,0.0011402236923912824,0.00033601719213045361,0.98881697654724132,0.98881697654724132,0.24791963398456573,0.680645227432251,0.87574211062426788,-0.014921025355008395
DP 7,0.0375,0.0375,0.0008825985,0.0010332702102300352,0.0010554495828858194,0.0011514407313748822,0.00034487741729279586,1.0050035715103149,1.0050035715103149,0.35771641135215759,0.81705218553543091,0.87429591000935647,0.086945208857609077
DP 8,0.075,0.075,0.0008825985,0.0011184395040298967,0.0011381002311537962,0.0011555383608794015,0.00034125764132228632,0.9903893470764159,0.9903893470764159,0.30969369411468506,0.7662661075592041,0.86402820913415224,0.042354023404534716
DP 9,0.1125,0.1125,0.0008825985,0.001194300933938832,0.0012120992740890229,0.0011603727782990769,0.00033841732983179093,0.97733622789382935,0.97733622789382935,0.267177939414978,0.72094047069549561,0.8548657828540891,0.0026123459659187893
DP 10,0.15,0.15,0.0008825985,0.0012622379298266428,0.0012786174362747667,0.001164882298502073,0.00033619614416811612,0.96561920642852783,0.96561920642852783,0.22906462848186493,0.68028277158737183,0.84664775566621275,-0.032991966834786467
DP 11,0.0375,0.0375,0.011768,0.0011020796066578704,0.0011512419745101105,0.0032536414475473974,0.00063214293718210951,0.32475322484970093,0.3269801139831543,0,0.58766496181488037,0.058166596152581282,-0.595933663502835
DP 12,0.075,0.075,0.011768,0.0010957763310938192,0.0011424164975114182,0.0032534839860588302,0.00063147330711516979,0.32532045245170593,0.32758522033691406,0,0.58774048089981079,0.058538124276354034,-0.59311181520731271
DP 13,0.1125,0.1125,0.011768,0.0010901325453870827,0.0011349840318263683,0.0032533441798308061,0.0006309172992268675,0.32582905888557434,0.32812747359275818,0,0.58782815933227539,0.058871941621477693,-0.59057852825479673
DP 14,0.15,0.15,0.011768,0.0010850499433268197,0.0011286713689515277,0.0032532191731257879,0.00063045181197457685,0.3262876570224762,0.32861617207527161,0,0.58792316913604736,0.05917344265450325,-0.58829187933337779
