# The following header line defines the name of the columns by reference to the parameters.
Name,P9,P10,P14,P1,P2,P3,P4,P18,P19,P20,P21,P22,P23
DP 0,0.015,0.015,0.000588399,0.00097829705114835111,0.0010014126680020004,0.0011307549948142365,0.0003482942562984688,1.0392658710479736,1.0392658710479736,0.41408088803291321,0.85604655742645264,0.91120665238804777,0.13938072102345433
DP 2,0.03,0.03,0.000588399,0.0010176144116006791,0.0010394335188789235,0.0011220262238086553,0.00034635737030918158,1.0325852632522583,1.0325852632522583,0.3919614851474762,0.83278840780258179,0.90650349598752233,0.11887565322841948
DP 5,0.0375,0.0375,0.000588399,0.0010365615072388107,0.0010577973433435184,0.001123356855245547,0.00034545545987590948,1.0293622016906738,1.0293622016906738,0.38129615783691406,0.82157111167907715,0.90423528429423738,0.10899100451101887
DP 6,0.045,0.045,0.000588399,0.0010550553731642693,0.0010757460883785905,0.0011246529823347128,0.00034459522161345155,1.0262141227722168,1.0262141227722168,0.37088239192962646,0.81061655282974243,0.9020202259697977,0.099340900147119826
DP 7,0.06,0.06,0.000588399,0.0010907430641005319,0.0011104448931077012,0.0011271464620298377,0.00034299231879264384,1.0201330184936523,1.0201330184936523,0.35077720880508423,0.78946208953857422,0.89774284379904368,0.080714027437160885
DP 8,0.075,0.075,0.000588399,0.001124790565797414,0.0011436203402658488,0.0011295158582289777,0.00034153462679470679,1.0143239498138428,1.0143239498138428,0.33158460259437561,0.76926141977310181,0.8936584523420017,0.062937485229872317
DP 9,0.09,0.09,0.000588399,0.0011573024168188258,0.0011753587918485176,0.001131769842897343,0.00034020938946977838,1.0087703466415405,1.0087703466415405,0.31324782967567444,0.74995535612106323,0.88975506336495092,0.045957994354336222
DP 10,0.105,0.105,0.000588399,0.0011883749017207834,0.0012057417911294243,0.0011339160893903094,0.00033900504751035613,1.0034565925598145,1.0034565925598145,0.29571431875228882,0.73148953914642334,0.88602161920812139,0.029726326879187422
DP 11,0.1125,0.1125,0.000588399,0.0012033994288291139,0.0012204492024104204,0.0011349510257438627,0.00033844489715872445,1.0008852481842041,1.0008852481842041,0.28729438781738281,0.72255575656890869,0.88421539399042048,0.021876532125730135
DP 12,0.12,0.12,0.000588399,0.0012180968828681307,0.0012348461770447707,0.0011359616679209933,0.00033791110778670251,0.998368501663208,0.998368501663208,0.27907875180244446,0.71381324529647827,0.88244785675021409,0.014196873141751222
DP 13,0.135,0.135,0.000588399,0.0012465507015407867,0.0012627443809929396,0.0011380340102508596,0.00033691804078657883,0.99349272251129161,0.99349272251129161,0.26316875219345093,0.69687956571578979,0.87902428231170859,-0.000672568998780793
DP 14,0.15,0.15,0.000588399,0.0012738120840187469,0.0012895038934521476,0.0011402236923912824,0.00033601719213045361,0.98881697654724132,0.98881697654724132,0.24791963398456573,0.680645227432251,0.87574211062426788,-0.014921025355008395
DP 15,0.015,0.015,0.0008825985,0.00097701089991975975,0.0010011571291180814,0.0011487060289511642,0.00034750660789633248,1.0146327018737793,1.0146327018737793,0.38948497176170349,0.85053747892379761,0.88106680543799154,0.11638111790890571
DP 16,0.03,0.03,0.0008825985,0.001014976569958268,0.0010377663698347384,0.0011505539788411092,0.00034571204986446306,1.0081368684768677,1.0081368684768677,0.36805006861686707,0.8279460072517395,0.87649860022741066,0.096518595413021907
DP 17,0.0375,0.0375,0.0008825985,0.0010332702102297143,0.0010554495828854922,0.0011514407313748822,0.00034487741729279575,1.0050035715103149,1.0050035715103149,0.35771641135215759,0.81705218553543091,0.87429591000935647,0.086945208857609077
DP 18,0.045,0.045,0.0008825985,0.001051124920431276,0.0010727336763790042,0.0011523040623008841,0.00034408199207417985,1.0019434690475464,1.0019434690475464,0.34762749075889587,0.80641466379165649,0.87214511946628,0.077599918919155367
DP 19,0.06,0.06,0.0008825985,0.0010855758397829587,0.0011061494312313313,0.0011539632919201515,0.00034260165322368374,0.99603360891342174,0.99603360891342174,0.328152060508728,0.78587555885314941,0.86799256339597874,0.059563831876546756
DP 20,0.075,0.075,0.0008825985,0.0011184395040304542,0.0011381002311544632,0.0011555383608794015,0.00034125764132228616,0.9903893470764159,0.9903893470764159,0.30969369411468506,0.7662661075592041,0.86402820913415224,0.042354023404534716
DP 21,0.09,0.09,0.0008825985,0.0011498173621347792,0.0011686686721734843,0.0011573999905597012,0.00034003784633513843,0.98499435186386108,0.98499435186386108,0.29211428761482239,0.74752843379974365,0.86024031912881227,0.025918412712847134
DP 22,0.105,0.105,0.0008825985,0.0011798029060979551,0.0011979328949192456,0.0011594056044266715,0.00033893128900970354,0.97983336448669434,0.97983336448669434,0.27530694007873535,0.72960901260375977,0.85661801082665856,0.01020889180020595
DP 23,0.1125,0.1125,0.0008825985,0.0011943009339384634,0.0012120992740886761,0.0011603727782990769,0.00033841732983179061,0.97733622789382935,0.97733622789382935,0.267177939414978,0.72094047069549561,0.8548657828540891,0.0026123459659187893
DP 24,0.12,0.12,0.0008825985,0.0012084827837042064,0.0012259670118517148,0.0011613172375779376,0.00033792802817941256,0.97489237785339355,0.97489237785339355,0.25922468304634094,0.71245831251144409,0.853151243554348,-0.0048191052235988241
DP 25,0.135,0.135,0.0008825985,0.0012359365582699303,0.0012528401906040359,0.0011631408512758745,0.00033701904106631894,0.97015839815139771,0.97015839815139771,0.24382400512695313,0.69603049755096436,0.8498306924646547,-0.019206692599307122
DP 26,0.15,0.15,0.0008825985,0.0012622379298281505,0.0012786174362762874,0.001164882298502073,0.00033619614416811617,0.96561920642852783,0.96561920642852783,0.22906462848186493,0.68028277158737183,0.84664775566621275,-0.032991966834786467
DP 27,0.015,0.015,0.0011768,0.00097644854351748881,0.0010016173034130349,0.0011835240467614702,0.00034937319844121788,0.99035328626632679,0.99035328626632679,0.36490121483802795,0.84455817937850952,0.85154884198065584,0.093455541597091074
DP 28,0.03,0.03,0.0011768,0.0010130775070032426,0.0010368328760863976,0.0011848033115592468,0.000347707377056562,0.98404568433761586,0.98404568433761586,0.3442351222038269,0.82263648509979248,0.84711770920091867,0.074237584122779712
DP 29,0.0375,0.0375,0.0011768,0.0010307250665796415,0.0010538440684234708,0.0011854165873676967,0.00034693336442446338,0.98100388050079335,0.98100388050079335,0.33433455228805542,0.81206732988357544,0.84498149128051481,0.0649762692189782
DP 30,0.045,0.045,0.0011768,0.0010479480282536984,0.0010704721040870656,0.0011860130997065042,0.00034619619458940519,0.97803342342376709,0.97803342342376709,0.32466927170753479,0.80174803733825684,0.84289587000340382,0.055936433553125289
DP 31,0.06,0.06,0.0011768,0.0010811767592560008,0.0011026215191378998,0.0011871585214277896,0.00034482559675500489,0.9722975492477417,0.9722975492477417,0.30601394176483154,0.78182661533355713,0.83886983234916546,0.0384923168836812
DP 32,0.075,0.075,0.0011768,0.0011128708587650369,0.0011333636597789117,0.0011882443092752564,0.00034358283983358282,0.96682071685791016,0.96682071685791016,0.28821077942848206,0.76281017065048218,0.8350270555920577,0.021850048468847038
DP 33,0.09,0.09,0.0011768,0.0011431287941481788,0.0011627776440817812,0.0011894425931260042,0.00034245645540463635,0.96158671379089355,0.96158671379089355,0.27120622992515564,0.74464225769042969,0.83135602947627552,0.0059587492484434483
DP 34,0.105,0.105,0.0011768,0.0011720416319766411,0.001190938526819283,0.0011907437287225688,0.00034143603789702577,0.95658069849014282,0.95658069849014282,0.25495064258575439,0.72727018594741821,0.8278461041633024,-0.0092285121902467016
DP 35,0.1125,0.1125,0.0011768,0.0011860200337052355,0.0012045713519674105,0.0011913706594007434,0.00034096260282215682,0.95415878295898438,0.95415878295898438,0.247089296579361,0.71886748075485229,0.82614845579320728,-0.016571824173097317
DP 36,0.12,0.12,0.0011768,0.0011996929081311493,0.0012179168921801419,0.00119198258428146,0.00034051219592934817,0.95178884267807007,0.95178884267807007,0.2393983006477356,0.71064573526382446,0.82448743404954239,-0.023755088342135362
DP 37,0.135,0.135,0.0011768,0.0012261600643299546,0.001243779306454655,0.0011931633323026298,0.00033967640989208627,0.94719839096069336,0.94719839096069336,0.2245066910982132,0.69472384452819824,0.82127090076510412,-0.037661109287035512
DP 38,0.15,0.15,0.0011768,0.0012515146003850633,0.0012685883152036303,0.0011942898321608492,0.00033892097636584569,0.94279748201370239,0.94279748201370239,0.21023663878440857,0.67946302890777588,0.81818810290697119,-0.050983665113306147
